Health Region,Agriculture...Forestry.NH3,Agriculture...Forestry.PM10.FIL,Agriculture...Forestry.PM10.PRI,Bulk.Terminals...Plants.NH3,Bulk.Terminals...Plants.PM25.PRI,Bulk.Terminals...Plants.PM.PRI,Coal.PM25.PRI,Coal.PM.CON,Coal.PM.PRI,Coal.SO2,Coal.VOC,Commercial.Institutional.Coal.CO,Commercial.Institutional.Coal.NH3,Commercial.Institutional.Coal.NOX,Commercial.Institutional.Coal.PM10.FIL,Commercial.Institutional.Coal.PM10.PRI,Commercial.Institutional.Coal.PM25.FIL,Commercial.Institutional.Coal.PM25.PRI,Commercial.Institutional.Coal.SO2,Commercial.Institutional.Coal.VOC,Commercial.Institutional.Gas.CO,Commercial.Institutional.Gas.NH3,Commercial.Institutional.Gas.NOX
113,237.5323057,457.2834094,457.2834094,9.076720222,3.941124667,1.31,112.1384443,21.12920155,22.96096671,8.06284192,9.894607072,1.831765151,646.408388,6.197,232.8625623,6.022703736,0.075129609,0.001183926,0.155398778,0.168302485,0.032330214,0.04523392,0.012903707
114,495.0433539,251.6766968,251.6766968,8.564735034,4.159289315,1.31,0.917047383,1.620592533,1.759301813,0.09536452,0.234073799,0.13870928,735.1068988,4.749088204,68.99442963,0.008200786,0.157600552,0.002171305,0.253936083,0.272612866,0.044747626,0.062733127,0.017826375
115,1943.390561,815.8544164,815.8544164,9.076720222,3.941124667,1.31,5359.637826,386.1478356,1559.686501,144.0218156,1317.560481,1173.538665,1067.692059,7.950596831,26840.51854,36.18882174,0.178839082,0.002132724,0.242975653,0.262681259,0.064251857,0.085956068,0.019705606
116,554.099359,354.2962803,354.2962803,9.076720222,3.941124667,1.31,1005.337154,65.5062019,363.326577,27.77052014,325.5908951,297.8203751,834.5148591,6.040632778,6324.544333,8.14725188,0.273720501,0.003765645,0.434466077,0.46452739,0.041634221,0.071695534,0.030061313
117,1017.715909,599.7022946,599.7022946,9.076720222,3.941124667,1.31,4930.857678,278.7836888,1245.324483,118.5009779,1084.92951,965.6912452,829.0404364,22.65876433,22223.66486,38.80281083,0.24790127,0.003553793,0.411026011,0.4345862,0.054985398,0.078545587,0.023560189
118,2230.786669,1533.45906,1533.45906,9.076720222,3.941124667,1.31,3999.596733,341.4379637,709.5369687,180.0537355,545.9788135,359.1038036,1172.379317,33.45952515,8083.36951,73.13688393,0.263147384,0.004552229,0.761967546,0.8062971,0.073530189,0.117859743,0.044329554
119,165.7251892,267.4861638,267.4861638,10422.55601,0.141113466,30.14215744,0.966031367,15.7147682,0.022139854,15.11133651,8.831502303,9.33671568,7.817708244,8.322711146,0.308361456,20.63221855,0.22103345,9.459518328,5.86,5.86,5.86,89.13029904,356.6297722
120,1270.757302,280.1980949,280.1980949,1109.199248,0.05705047,11.69731154,0.444530898,0.060767688,0.010814269,0.516680014,0.107600819,0.153451112,0.040777577,0.086423173,0.043901575,14.42,0.02,3.144541522,5.86,5.86,5.86,24.97067644,136.152525
121,563.3737075,422.3232308,422.3232308,5.870505817,0.031961791,6.803757164,0.366995606,0.034350464,0.005771331,0.299524607,0.062206916,0.08913507,0.024635389,0.051410501,0.025471194,14.42,0.02,1.821932145,5.86,5.86,5.86,13.18562767,81.09864283
122,1800.947032,274.4166182,274.4166182,14.82981062,0.04628729,9.807681188,0.340253961,3.766856495,0.007959765,2.879625967,0.850504553,0.896627257,0.718598617,0.7644008,0.04307134,13.43733569,0.02,3.197142201,5.86,5.86,5.86,33.03784506,147.7976292
123,1090.27943,1554.670064,1554.670064,20.35379201,0.213618555,63.47765505,2.247291162,0.456972287,0.032693885,4.087622355,3.504931069,20.1472024,1.441070688,18.08308925,16.63854112,15.56073482,0.018676146,10.97857822,5.86,5.86,5.86,98.45742934,355.3594859
124,351.3462838,940.5763788,940.5763788,15.20809881,0.038441624,10.09163866,0.417113284,2.089055418,0.006569291,1.213126962,0.17020749,0.20510604,0.123840023,0.158488791,0.032520616,13.16769582,0.02,1.823448739,5.86,5.86,5.86,52.33954445,90.93034102
125,639.5312558,3148.453856,3148.453856,11.66305041,0.058015296,12.82079263,0.607000732,0.058595907,0.009182331,0.461426803,0.084925439,0.134365103,0.033162521,0.082415305,0.045177294,14.42,0.02,2.482244167,5.86,5.86,5.86,35.2444697,109.9007885
