"","order","STUSPS","orderReg","GEOID","Agriculture...Forestry.NH3","Agriculture...Forestry.PM10.FIL","Agriculture...Forestry.PM10.PRI","Bulk.Terminals...Plants.NH3","Bulk.Terminals...Plants.PM25.PRI","Bulk.Terminals...Plants.PM.PRI","Coal.PM25.PRI","Coal.PM.CON","Coal.PM.PRI","Coal.SO2","Coal.VOC","Commercial.Institutional.Coal.CO","Commercial.Institutional.Coal.NH3","Commercial.Institutional.Coal.NOX","Commercial.Institutional.Coal.PM10.FIL","Commercial.Institutional.Coal.PM10.PRI","Commercial.Institutional.Coal.PM25.FIL","Commercial.Institutional.Coal.PM25.PRI","Commercial.Institutional.Coal.SO2","Commercial.Institutional.Coal.VOC","Commercial.Institutional.Gas.CO","Commercial.Institutional.Gas.NH3","Commercial.Institutional.Gas.NOX"
"865",865,"NM",265,35043,19.46,6.1467825865,18.04,10.95940642,128.0094602,0.224578,1.771465389,0.003107834,25.86424324,0.150874752,30.79076576,0.06,0.160111982,0.03,0.132400293,0.09930022,1.5543153,2.3116,1.693492117,1.022360066,0.163577611,4.089440264,0.220829774
"866",866,"KY",202,21051,0.87,27.79,1.2347784,0.02242424,1.839766408,2.0070179,3.204227929,0.01869133,3.814557059,0.00753375,0.019835697,0.004100649,0.016402595,0.012301947,2.08,0.162425565,0.022887342,0.209800638,0.043935415,1.109337031,0.063650072,0.135107702,0.047059526
"867",867,"PA",199,42035,34.39,34.39,5.54,0.75081087,13.70711105,4.4278589,0,8.6361413,0,3.42049415,0,114.423271,55.7710361,0.7884118,39.78017515,0.20284358,44.7641704,0.144920723,0.144920723,2.603625531,0.010879277,7.893860162,0.2718998
"868",868,"OR",325,41043,2.159590851,27.1,1.697577345,0.19,3.193160403,1356.409227,38.13520048,10.94582126,19.82325732,8.877436059,126.8875008,31.0258,87.1,103.4327004,1.5972,243.8136975,0.826484008,1.446297179,1.446297179,0.154713171,0.05,3.097600013,281.0735
"869",869,"WI",246,55065,591.25,591.25,0.35,5.089571975,278.9748572,15.18783,0,0,25.84470508,17.787125,0,0,4.33,0.02,5.16,0.2986985275,0.02,0.2986985275,0.0267521405,0.03123889,0.3351396145,0.03,0.28
"870",870,"OK",149,40147,4.87,45.368,3.884,0.714040592,0.13477432,27.5049632,0.141984104,3.5496026,0.19167854,0.422402709,0.147308508,0.378032677,0.230724169,7.560653537,0.060343244,19.35,113.3152383,0.811879796,10.77025814,9.285651874,9.061486366,21.77127113,11.16
"871",871,"WV",194,54077,0.331732707,46.10491,0.3718375,0.46,6.24,0.02,83.02692859,0.924726847,352.3845712,12.65353153,10.88037302,9.642994644,16.99974847,4.04,699.2451,56.7524,211.186394,47.659889895,34.015352295,66.8816735,13.26060334,2.111,33.19155
"872",872,"WI",244,55135,491.75,491.75,6.25,5.089571975,278.9748572,15.18783,0,0,25.84470508,17.787125,0,0,33.046952,0.13,39.60324,0.875088018,1.0803003,0.875088018,0.065212282,0.01339386,0.9403003,0.23549944,2.17138142
"873",873,"TX",138,48137,178.62,18.28,18.28,1.7,52.765,0.055,350.27,0.45,0,0.02,0,0.03,0.08,0.01,0.07,0.04,0.02,0,0.110234764,0.03,0.01,0.008319804,0.01
"874",874,"OR",329,41037,2.159590851,4.44,1.697577345,0.009005,0.338972408,132.7115418,68.034650365,14.21217381,49.39557581,35.1834021195,110.2960003,31.0258,87.1,1.72,0.16,4.04,0.0084925,0.02,0.01,0.01,0.05,2.2178500065,0.02
"875",875,"MO",347,29153,152.26,22.83,22.83,0.00683187,0.44,0.29,2.06,0.0313967475,0.01,0.0285304115,0.008883234,0.009182292,0.01,0.11,0.070587387,0.010093982,0.286461253,0.011755264,0.010651858,0.030828074,0.010176216,0.047533559,0.004949173
"876",876,"TX",139,48473,828.21,99.02,99.02,5.37,166.2,0.19,350.27,0.45,6.21,0.03,7.39,0.05,0.13,0.03,0.11,0.08,0.04,0.4,0.011173527,0.9,0.01,0.14,0.009789
"877",877,"AL",111,1099,274.1462048,1288.3,1288.3,9.0767202215,3.941124667,1.31,0.38,3.45,3.75,0.12,0.42,0.3,856.2413385,6.197,153,0,0.129680207,0.001262097,0.13,0.14,0.06,0.07,0.01
"878",878,"VT",365,50009,17.56885152,0.091991824,70.7213,1.8119728255,0.0585,0.3815857115,4.474102721,3.9949999785,18.569999914,2.1408,2.302611154,2.007,2.168811154,0.161811154,1.265000006,3.595832996,0.245000002,0.9800000005,0.781018964,10.63692417,0.210430234,0.103970849,0.247468524
"879",879,"VA",171,51111,6.26,6.26,0.25,7.77,0.02,0.31,0.009603078,2.81,0.147544192,0.01,0.147544192,0.008427191,0.008074335,0.01,0.1,0.3,0.044296372,1.41,0.21,0.024034441,0.15,0.074252116,4.29
"880",880,"ND",354,38097,64.45,0,0.140774295,12.43293031,16.38113099,0,0,0,12.77,84.3816241,0.306919433,30.39568251,0.620424558,0.454660318,0.420116435,8.54897804,1.31,1.31,0.25,0.15,0.17,0.02,0.0244296
"881",881,"GA",87,13139,3700.969845,17.34,17.34,45.89029213,1990.58,58.15,0.10323,0.36218925,0.28,2.57,2.187236013,0.349957762,8.748944051,0.472442979,1.041124342,0.363081178,0.931762541,0.568681363,0.475,18.63525083,0.148732049,283.61,819.0905975
"882",882,"GA",83,13283,32.42205016,152.72,152.72,0.35,10.61,0.44,0.10323,0.36218925,0.003916427,0.03,0.045800245,0.007328039,0.183200981,0.009892853,0.021800917,0.007602841,0.019510905,0.011908064,0.475,0.390218091,0.003114417,10.34,59.60339699
"883",883,"GA",81,13037,278.3430741,1072.83,1072.83,0.39,11.87,0.49,0.10323,0.36218925,0.003422879,0.03,0.041032874,0.00656526,0.164131495,0.008863101,0.019531648,0.006811457,0.017480004,0.010668547,0.475,0.349600085,0.002790235,9.55,30.34261264
"884",884,"WI",247,55125,6.32,6.32,4.28,5.089571975,278.9748572,15.18783,0,0,25.84470508,17.787125,0,0,11.88,0.06,14.15,0.2986985275,0.07,0.2986985275,0.0267521405,0.03123889,0.3351396145,0.08,0.77
"885",885,"MN",250,27007,0.474509805,0.06,1.39456456,23.28,0.0811756,0.100104,0.163466203,1.75918,0.008398487,8.447395,1.560455,0.995,4.075,3.313574949,2.43,1.8874794015,2.016382367,1.816425051,109.9736,145.1131645,1.098854596,405.2001544,14.99022077
"886",886,"MD",184,24019,1113.99,1113.99,167.09,46.03659429,122.0254426,131.5621263,1.02,21.45,15.39,18.01,7.57,10.19,2.61,97.224,99.403118,174.14,1.7,15.528,27.232,3.156,3.551807849,3.151968909,3.551807849
"887",887,"PA",199,42037,215.75,215.75,7.13,0.02046496,95.14714875,19.2270123,0.019327731,45.28311465,0.015694699,21.33725687,0.000672269,114.423271,45.7409075,0.2803,32.27594955,0.195062206,37.51253995,0.076330523,0.076330523,0.254487243,0.004969477,7.893860162,0.22034965
"888",888,"OH",219,39023,671.8515277,3145.29,3145.29,0.11,0.27,14.73385365,30.69,0,0,2.418989755,0.014797012,5.404126048,5.947948399,6.450617901,0.744379762,1.247049264,0.502669502,24.565,0.027342304,79.668648,3.034996335,94.8436325,0.309940903
"889",889,"TX",138,48323,221.88,23.77,23.77,2.83,87.62,0.1,350.27,0.45,7.52,0.04,8.96,0.06,0.16,0.03,0.13,0.1,0.05,0.49,0.021643636,0.61,0.02,0.21,0.01
"890",890,"AZ",361,4019,125.17,98.97,1658.81,0.071295456,162.9603333,0.949960278,10.67334944,12.27351703,1.963762725,49.09406813,2.651079679,5.842194108,2.037403828,5.228518256,3.191114429,104.5703651,0.834599158,15.41,3.606595695,4.918085277,1.311489344,311.27,2168.846389
